year,theme,num_sets,prev_num_sets,abs_change,pct_change,total_sets_year,pct_of_portfolio,is_new_theme_year,new_themes_launched
2023,X-Men,2,1,1.0,100.0,1141,0.18,0,7
2024,X-Men,3,2,1.0,50.0,1225,0.24,0,8
2004,X-Pod,15,0,0.0,0.0,466,3.22,1,9
2005,X-Pod,4,15,-11.0,-73.33,409,0.98,0,9
2006,X-Pod,5,4,1.0,25.0,441,1.13,0,7
2020,Speed Champions,7,6,1.0,16.67,1116,0.63,0,11
2021,Speed Champions,7,7,0.0,0.0,1220,0.57,0,8
2022,Speed Champions,8,7,1.0,14.29,1217,0.66,0,5
2023,Speed Champions,6,8,-2.0,-25.0,1141,0.53,0,7
2024,Speed Champions,10,6,4.0,66.67,1225,0.82,0,8
2025,Speed Champions,17,10,7.0,70.0,1104,1.54,0,7
2026,Speed Champions,2,17,-15.0,-88.24,24,8.33,0,0
2012,Super Heroes Marvel,1,0,0.0,0.0,766,0.13,1,18
2013,Super Heroes Marvel,1,1,0.0,0.0,809,0.12,0,15
2014,Super Heroes Marvel,1,1,0.0,0.0,1043,0.1,0,12
2015,Super Heroes Marvel,1,1,0.0,0.0,1016,0.1,0,16
2016,Super Heroes Marvel,4,1,3.0,300.0,998,0.4,0,13
2017,Super Heroes Marvel,6,4,2.0,50.0,1104,0.54,0,6
2018,Super Heroes Marvel,9,6,3.0,50.0,1065,0.85,0,13
2019,Super Heroes Marvel,3,9,-6.0,-66.67,1106,0.27,0,9
2020,Super Heroes Marvel,4,3,1.0,33.33,1116,0.36,0,11
2021,Super Heroes Marvel,10,4,6.0,150.0,1220,0.82,0,8
2022,Super Heroes Marvel,8,10,-2.0,-20.0,1217,0.66,0,5
2023,Super Heroes Marvel,5,8,-3.0,-37.5,1141,0.44,0,7
2024,Super Heroes Marvel,1,5,-4.0,-80.0,1225,0.08,0,8
2025,Super Heroes Marvel,2,1,1.0,100.0,1104,0.18,0,7
2014,The Simpsons Series 1,19,0,0.0,0.0,1043,1.82,1,12
1954,Town Plan,2,0,0.0,0.0,14,14.29,1,1
1955,Town Plan,6,2,4.0,200.0,39,15.38,0,3
